target_sku;platform;api_sku;status;note;api_revenue;api_units;api_name;all_platforms;source_modes;first_date;last_date
"";"ya";"getsize";"active";"API without registry pair; Yandex Market";"9897";"21";"Эрекционная насадка для увеличения члена, мастурбатор, секс игрушки 18+";"?.??????";"yandex-market-api-direct-sku";"2026-05-02";"2026-05-15"
"";"wb";"micardin_1_1_1";"active";"API without registry pair; WB";"9876";"5";"micardin_1_1_1";"WB";"wb-api-direct-sku";"2026-05-03";"2026-05-06"
"";"ya";"yagodniy_spas";"active";"API without registry pair; Yandex Market";"9864";"12";"yagodniy_spas";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"daoshen";"active";"API without registry pair; Yandex Market";"9690";"18";"daoshen";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"fbs_retiderm_50ml";"active";"API without registry pair; Yandex Market";"9666";"9";"Крем для лица антивозрастной с ретинолом 0,5, сыворотка для лица от морщин и пигментных пятен, Ретидерм, 50 мл";"?.??????";"yandex-market-api-direct-sku";"2026-05-01";"2026-05-11"
"";"goldapple";"shampun_dlya_rosta_2";"active";"API without registry pair; Gold Apple";"9646";"14";"Шампунь для роста волос, от выпадения волос профессиональный, Алтея, 250 мл";"??";"SKU_месяцы";"2026-05-01";"2026-05-15"
"";"wb";"wbbiotrin_1_1_1";"active";"API without registry pair; WB";"9385";"6";"wbbiotrin_1_1_1";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"dolgar";"active";"API without registry pair; Ozon";"9336";"24";"dolgar";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-02";"2026-05-15"
"";"ya";"mycoplax";"active";"API without registry pair; Yandex Market";"9330";"15";"mycoplax";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"goldapple";"retinait_krem_05_50m";"active";"API without registry pair; Gold Apple";"9066";"10";"Ретинайт 0,5 экспресс-омоложение Anti-Age Липосомальный комплекс ретинола 0,5 + Ниацинамид 50 мл";"??";"SKU_месяцы";"2026-05-01";"2026-05-15"
"";"goldapple";"maslo_dlya_borodi_50";"active";"API without registry pair; Gold Apple";"9064";"12";"Средство косметическое для ухода за волосами: масло для бороды, маркировка: Алтея.";"??";"SKU_месяцы";"2026-05-01";"2026-05-15"
"";"wb";"mycoplax_1_1";"active";"API without registry pair; WB";"9007";"5";"mycoplax_1_1";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"t34poten10caps";"active";"API without registry pair; Yandex Market";"8967";"15";"Возбудитель для мужчин, таблетки для потенции и эрекции, капсулы для мужчин для секса, 18+, Т-34, 10 шт.";"?.??????";"yandex-market-api-direct-sku";"2026-05-13";"2026-05-14"
"";"ya";"sustalit";"active";"API without registry pair; Yandex Market";"8934";"18";"sustalit";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"goldapple";"psoral_50ml";"active";"API without registry pair; Gold Apple";"8928";"8";"psoral_50ml";"WB, Ozon, ?.??????, ??";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku, SKU_месяцы";"2026-05-01";"2026-05-15"
"";"ya";"sinergel";"active";"API without registry pair; Yandex Market";"8568";"15";"Крем мазь для суставов и связок Синергель обезболивающий, противовоспалительный гель от боли, от отеков в ногах 30 мл";"?.??????";"yandex-market-api-direct-sku";"2026-05-11";"2026-05-14"
"";"ya";"wowglam";"active";"API without registry pair; Yandex Market";"8262";"12";"wowglam";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
